ind_no_prog_max,ind_no_prog_min,ood_no_prog_max,ood_no_prog_min
-1.93582284450531,-17.25823974609375,3.074554681777954,-7.227761268615723
-1.936591386795044,-17.25728416442871,3.073014736175537,-7.189927101135254
-1.937336802482605,-17.2542724609375,3.0715107917785645,-7.160287857055664
-1.9380884170532227,-17.254995346069336,3.0700855255126953,-7.131417274475098
-1.9387943744659424,-17.259729385375977,3.0688605308532715,-7.102516174316406
-1.9395371675491333,-17.263063430786133,3.067739963531494,-7.075002670288086
-1.940319299697876,-17.267850875854492,3.0666909217834473,-7.0513763427734375
-1.9410789012908936,-17.272994995117188,3.065488576889038,-7.033596992492676
-1.9418426752090454,-17.280658721923828,3.0641026496887207,-7.020411491394043
-1.9425029754638672,-17.287689208984375,3.06259822845459,-7.006965637207031
-1.9429794549942017,-17.29384422302246,3.061093807220459,-6.996198654174805
-1.9434912204742432,-17.300046920776367,3.0595831871032715,-6.983243942260742
-1.9439821243286133,-17.30912971496582,3.0581393241882324,-6.967581748962402
-1.9444761276245117,-17.322607040405273,3.0567517280578613,-6.949672698974609
-1.9451017379760742,-17.334327697753906,3.0553297996520996,-6.930621147155762
-1.9457143545150757,-17.34520149230957,3.0538341999053955,-6.918269157409668
-1.9462682008743286,-17.358409881591797,3.0523810386657715,-6.909653663635254
-1.9468801021575928,-17.36991310119629,3.051023006439209,-6.895687103271484
-1.9475185871124268,-17.37543487548828,3.049668073654175,-6.884250640869141
-1.9482563734054565,-17.382061004638672,3.048396587371826,-6.874590873718262
-1.9490333795547485,-17.392454147338867,3.047189474105835,-6.8670549392700195
-1.9497673511505127,-17.414167404174805,3.04599666595459,-6.85697078704834
-1.9503469467163086,-17.43465805053711,3.0447850227355957,-6.8456926345825195
-1.9508649110794067,-17.44324493408203,3.0436086654663086,-6.83555793762207
-1.951390027999878,-17.449716567993164,3.042452335357666,-6.828166961669922
-1.952007532119751,-17.460205078125,3.0413146018981934,-6.822449684143066
